MerchantID,city,name,address,latitude,logitude,phone,rate,reviewSize
5070,Hà Nội,Trà Tiên Hưởng - Nguyễn Chí Thanh,"145 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội",21.015534,105.805315,,3.400000,56
18620,Hà Nội,LeeTee - Tea & Juice - Đào Tấn,"71 Đào Tấn, Quận Ba Đình, Hà Nội",21.033160,105.806598,,3.600000,61
3575,Hà Nội,Sushi 24 - Ẩm Thực Đường Phố Nhật Bản,"285 Kim Mã (111/A5 TT Giảng Võ), Quận Ba Đình, Hà Nội",21.030694,105.818443,,3.650000,35
7633,Hà Nội,Family Steak House,"91 Văn Cao, Quận Ba Đình, Hà Nội",21.038882,105.815683,,3.450000,39
5650,Hà Nội,Highlands Coffee - Kim Mã,"523 Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội",21.029832,105.810855,,3.650000,36
1891,Hà Nội,Mì Hàn Quốc - Láng Hạ,"Ngõ 8 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội",21.021100,105.818253,,3.650000,34
7242,Hà Nội,Nét Huế - Nguyễn Chí Thanh,"33 Nguyễn Chí Thanh, Ba Dinh District, Hà Nội",21.027289,105.812298,,3.300000,52
5467,Hà Nội,iSalad+ - Nguyễn Chí Thanh,"Ngõ 29 Nguyễn Chí Thanh (Vào Ngõ Rẽ Phải Nhà Thứ 5), Quận Ba Đình, Hà Nội",21.028840,105.813109,,3.550000,51
10185,Hà Nội,Gimbab Restaurant - Giảng Võ,"203 Giảng Võ, Quận Ba Đình, Hà Nội",21.025580,105.822284,,3.150000,43
33488,Hà Nội,Cộng Caphe - Vạn Phúc,"101 Vạn Phúc, Quận Ba Đình, Hà Nội",21.033387,105.816101,,3.600000,43
4143,Hà Nội,Narak Dessert - Yên Phụ,"66 Yên Phụ To, P. Trung Trực, Ba Dinh District, Hà Nội",21.042429,105.848192,,3.850000,26
4377,Hà Nội,TAD Salad Bar,"283 Kim Mã, Quận Ba Đình, Hà Nội",21.030290,105.813603,,3.500000,41
21255,Hà Nội,Original Cake - Ngọc Khánh,"58 Ngọc Khánh, Quận Ba Đình, Hà Nội",21.028971,105.817511,,3.900000,61
3448,Hà Nội,Trà Sữa Tocotoco - Đội Cấn,"95 Đội Cấn, Quận Ba Đình, Hà Nội",21.034713,105.827679,,3.450000,48
36142,Hà Nội,Phương Hoa - Bún Thái Hải Sản Tươi Sống,"109B2 Thành Công, Quận Ba Đình, Hà Nội",21.021331,105.815578,,3.800000,55
52569,Hà Nội,Khana Khazana - India Restaurant,"36 Phạm Huy Thông, Quận Ba Đình, Hà Nội",21.028737,105.811041,,4.750000,24
33505,Hà Nội,Cộng Caphe - Trúc Bạch,"15 Trúc Bạch, Quận Ba Đình, Hà Nội",21.066080,105.826203,,3.700000,34
17841,Hà Nội,Cơm Sườn Đào Duy Từ - Giảng Võ,"325 Giảng Võ, Quận Ba Đình, Hà Nội",21.023912,105.820502,,2.900000,63
30655,Hà Nội,Bít Tết Số 3 Hòe Nhai,"3 Hòe Nhai, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội",21.041936,105.847460,,3.650000,26
14861,Hà Nội,Heekcaa By Heytea - Kim Mã,"77 Kim Mã, P. Kim Mã, Ba Dinh District, Hà Nội",21.032007,105.827244,,3.550000,43
34563,Hà Nội,Sky Coffee - Liễu Giai,"Tầng 7, Tòa Nhà TID, 4 Liễu Giai, Quận Ba Đình, Hà Nội",21.036951,105.814768,,3.950000,21
7117,Hà Nội,Tiệm Bánh Panna Cotta,"104 K8 Ngõ 6B Thành Công, Quận Ba Đình, Hà Nội",21.023248,105.816789,,3.700000,36
4106,Hà Nội,Ding Tea - Đội Cấn,"164C Đội Cấn, Quận Ba Đình, Hà Nội",21.034823,105.825621,,3.750000,41
11504,Hà Nội,Funny Monkey - Chè Trái Cây & Fastfood - Đội Cấn,"147E Đội Cấn, Quận Ba Đình, Hà Nội",21.034999,105.825000,,3.250000,31
5436,Hà Nội,Cơm Tấm Sườn To - Kim Mã,"22 Kim Mã, Quận Ba Đình, Hà Nội",21.032548,105.828605,,2.850000,38
2551,Hà Nội,Bún Plus - Đào Tấn,"44 Đào Tấn, Quận Ba Đình, Hà Nội",21.032847,105.807666,,3.350000,27
3778,Hà Nội,Trà Sữa Trân Châu Bubblin Tea - Linh Lang,"3 Linh Lang, Quận Ba Đình, Hà Nội",21.037631,105.810607,,4.200000,22
16746,Hà Nội,Lotteria - Trấn Vũ,"2A Trấn Vũ, Quận Ba Đình, Hà Nội",21.043910,105.836390,,3.100000,30
55240,Hà Nội,Bít Tết Gia Bảo - 5 Hoè Nhai,"5 Hoè Nhai, Quận Ba Đình, Hà Nội",21.042270,105.847816,,3.850000,32
4266,Hà Nội,An Nam Cháo,"18 Đào Tấn, Quận Ba Đình, Hà Nội",21.032519,105.809078,,3.250000,26
6180,Hà Nội,Phở Cuốn Vinh Phong,"40 Ngũ Xá, Ba Dinh District, Hà Nội",21.045965,105.841159,,3.350000,35
6305,Hà Nội,"Trường Tâm - Nem, Nộm & Đồ Ăn Vặt","105 A5 Thành Công, Quận Ba Đình, Hà Nội",21.021490,105.815624,,3.800000,37
15145,Hà Nội,Tư Mập - Cơm Tấm Sườn Cốt Lết Sài Gòn,"131 Hoàng Hoa Thám, Quận Ba Đình, Hà Nội",21.040172,105.826038,,4.100000,26
11207,Hà Nội,Trà Sữa Tocotoco - Kim Mã,"331 Kim Mã, Quận Ba Đình, Hà Nội",21.030478,105.817282,,3.100000,36
6267,Hà Nội,Hiền Hảo - Bánh Gối & Nem Chua,"Ngõ 9 Hoè Nhai, Quận Ba Đình, Hà Nội",21.041146,105.846444,,3.950000,23
6678,Hà Nội,Ngọc Dung - Cháo Lòng & Bánh Đa Trộn,"107 E2 Vĩnh Phúc, Quận Ba Đình, Hà Nội",21.043585,105.808060,,3.850000,35
15136,Hà Nội,Trà Sữa Shun Cha,"88 Cửa Bắc, Quận Ba Đình, Hà Nội",21.041951,105.842564,,3.650000,29
5647,Hà Nội,Highlands Coffee - Quán Thánh,"23 Quán Thánh, P. Quán Thánh, Quận Ba Đình, Hà Nội",21.041052,105.844392,,3.400000,34
17583,Hà Nội,"Goky - Tea, Coffee & Juice - 45 Nguyễn Chí Thanh","45 Nguyễn Chí Thanh, Ba Dinh District, Hà Nội",21.024981,105.811495,,2.900000,31
30395,Hà Nội,Sồi Đỏ - Pizza & Pasta,"144 Phó Đức Chính, Quận Ba Đình, Hà Nội",21.045819,105.843145,,2.700000,33
20636,Hà Nội,Trà Sữa Heytea - Đào Tấn,"58 Đào Tấn, Ba Dinh District, Hà Nội",21.032894,105.807815,,3.650000,24
14690,Hà Nội,Maian Bakers,"37A Phan Đình Phùng, Quận Ba Đình, Hà Nội",21.040334,105.843285,,3.650000,25
25440,Hà Nội,Paku Paku - Japanese Restaurant,"35 Linh Lang, Ba Dinh District, Hà Nội",21.035716,105.810445,,4.300000,15
13775,Hà Nội,Royaltea Việt Nam - Trà Sữa Hồng Kông - Phan Đình Phùng,"1 Phan Đình Phùng, Quận Ba Đình, Hà Nội",21.039650,105.846841,,3.400000,26
3461,Hà Nội,Bánh Mì Bách,"1 Ngõ 16 Huỳnh Thúc Kháng, Quận Ba Đình, Hà Nội",21.018780,105.810607,,3.800000,23
10112,Hà Nội,Chân Gà Chiên Mắm & Lẩu Thái - Thụy Khuê,"123x Thụy Khuê, Quận Ba Đình, Hà Nội",21.042966,105.823283,,3.850000,24
17322,Hà Nội,Trà Sữa Mi In Cha,"101B3 Trần Huy Liệu, Quận Ba Đình, Hà Nội",21.030447,105.819919,,3.800000,33
4798,Hà Nội,Eté Resto Bar & Restaurant,"95 Giang Văn Minh, Quận Ba Đình, Hà Nội",21.034324,105.827222,,3.600000,17
33508,Hà Nội,Cộng Caphe - Trần Huy Liệu,"101 C6 Trần Huy Liệu, Quận Ba Đình, Hà Nội",21.027037,105.822599,,3.550000,27
19200,Hà Nội,Trà Organic Heicha,"38 Cao Bá Quát, Quận Ba Đình, Hà Nội",21.030439,105.837215,,3.650000,27
6388,Hà Nội,Mì Hàn Quốc - Kim Mã,"505 Kim Mã , Quận Ba Đình, Hà Nội",21.030019,105.812173,,3.100000,21
39228,Hà Nội,Hồng Kỳ Quán - Lẩu Các Loại,"44 Nguyễn Khắc Hiếu, Quận Ba Đình, Hà Nội",21.045064,105.841088,,3.900000,23
24839,Hà Nội,Chả Cá Vọng Ngư - Nguyễn Chí Thanh,"29 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội",21.028611,105.812721,,4.100000,18
14594,Hà Nội,Tro Sweet - Cake & Bakery - Ngọc Khánh,"Tầng 4, 166 Ngọc Khánh, Quận Ba Đình, Hà Nội",21.025254,105.818610,,3.900000,18
2111,Hà Nội,Q Coffee,"64 Hàng Than, Quận Ba Đình, Hà Nội",21.040447,105.847561,,4.150000,19
17313,Hà Nội,Bánh Cuốn & Gà Tần - Đội Cấn,"175 Đội Cấn, Quận Ba Đình, Hà Nội",21.034938,105.825089,,3.950000,28
10431,Hà Nội,Tú Béo - Miến Lươn,"102A5 Thành Công, Quận Ba Đình, Hà Nội",21.020930,105.813333,,3.550000,22
66916,Hà Nội,Healthy Meal - Shop Online,"41 Ngõ 14 Phúc Xá, Ba Dinh District, Hà Nội",21.045721,105.849792,,4.400000,22
2368,Hà Nội,Phó Gia Quán - Nướng Các Loại,"52 Hàng Bún, Quận Ba Đình, Hà Nội",21.040592,105.844054,,3.900000,15
32201,Hà Nội,Chè Nam Đồng - Khu Tập Thể Thành Công,"107B A4 Khu Tập Thể Thành Công, Quận Ba Đình, Hà Nội",21.021035,105.814227,,3.700000,22
5644,Hà Nội,Highlands Coffee - Rose Garden,"170 Ngọc Khánh, P. Giảng Võ, Quận Ba Đình, Hà Nội",21.024744,105.819106,,3.900000,23
11112,Hà Nội,Trà Sữa Tocotoco - Đào Tấn,"11 Đào Tấn, Ba Dinh District, Hà Nội",21.032452,105.808338,,3.050000,23
21891,Hà Nội,Nhất Bao - Bánh Bao & Chân Gà Rút Xương,"58 Cửa Bắc, Quận Ba Đình, Hà Nội",21.044227,105.843027,,3.650000,24
6885,Hà Nội,Cheese Cake 1982 - Shop Online,"67D Quán Thánh, Quận Ba Đình, Hà Nội",21.042508,105.841705,,3.350000,22
4097,Hà Nội,Thế Giới Chè & Quà Vặt,"22 Ngõ Núi Trúc, Núi Trúc, Ba Dinh District, Hà Nội",21.030219,105.823517,,4.100000,14
7317,Hà Nội,Cafe Xí Nghiệp - Đội Cấn,"40 Ngõ 210 Đội Cấn, Quận Ba Đình, Hà Nội",21.034588,105.820955,,4.150000,16
4287,Hà Nội,Pizza Hoa Ý - Thành Công,"2 Thành Công, Quận Ba Đình, Hà Nội",21.019618,105.817169,,3.150000,19
56716,Hà Nội,Dimsum Điểm Tâm Đài Loan - Nguyễn Biểu,"25 Nguyễn Biểu, Ba Dinh District, Hà Nội",21.041675,105.840146,,4.650000,12
37291,Hà Nội,The Bistro - Cafe & Restaurant,"2/2C Khu Ngoại Giao Đoàn Vạn Phúc, Quận Ba Đình, Hà Nội",21.033337,105.816429,,3.800000,12
4872,Hà Nội,Trà Sữa Feeling Tea - Đội Cấn,"123 Đội Cấn, Quận Ba Đình, Hà Nội",21.037760,105.813797,,3.500000,23
3630,Hà Nội,Deli - Ship Đồ Ăn Tận Nhà,"3 Ngách 91/40 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội",21.020003,105.810214,,3.750000,22
19873,Hà Nội,Mì Ngon Số 3 - Chợ Hòe Nhai,"3 Chợ Hòe Nhai, Ba Dinh District, Hà Nội",21.041418,105.846809,,4.100000,16
36522,Hà Nội,Mucas Café,"8 Ngõ 29 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội",21.029176,105.812754,,3.750000,15
8916,Hà Nội,Quang Nguyên - Chè Khúc Bạch - Đội Cấn,"171 Đội Cấn, Ba Dinh District, Hà Nội",21.035039,105.825199,,3.700000,25
33322,Hà Nội,Trung Hoa Đệ Nhất Sủi Cảo - Nguyễn Chí Thanh,"28 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội",21.026497,105.811769,,3.650000,12
8606,Hà Nội,Mochi Sweets - Lotte Center,"Floor 6, Tấng 3, Lotte Center, 54 Liễu Giai, Quận Ba Đình, Hà Nội",21.031504,105.813112,,3.650000,15
15904,Hà Nội,Ding Tea - Hàng Than,"27 Hàng Than, Quận Ba Đình, Hà Nội",21.041809,105.847273,,3.750000,14
4139,Hà Nội,Thùy Trang Coffee,"115 - 116 B1 Trần Huy Liệu, Quận Ba Đình, Hà Nội",21.029953,105.827989,,3.900000,13
7516,Hà Nội,Món Ngon 86 - Gà & Lẩu,"101C6 Trần Huy Liệu, Quận Ba Đình, Hà Nội",21.027103,105.822510,,3.700000,12
25609,Hà Nội,"Cường Bình - Lẩu, Nướng & Lẩu Cháo","36 Ngõ 12 Núi Trúc, Quận Ba Đình, Hà Nội",21.028408,105.822641,,4.450000,16
36154,Hà Nội,Tonchan Ramen - Ẩm Thực Nhật - Phan Kế Bính,"81 Phan Kế Bính, Quận Ba Đình, Hà Nội",21.035136,105.810470,,2.950000,14
25361,Hà Nội,Quán Cây Xoài - Bún Miến Lươn & Bánh Đa Cua,"Mặt Sau 102B A4, Khu Tập Thể Bắc Thành Công, Ba Dinh District, Hà Nội",21.021002,105.813349,,3.050000,20
16999,Hà Nội,Bún Cá Hải Phòng - Đội Cấn,"92 Đội Cấn, Quận Ba Đình, Hà Nội",21.034499,105.829039,,3.200000,17
50970,Hà Nội,Hồng Anh Cuốn - Bánh Tráng Thịt Heo,"38B C8 TT Giảng Võ (Ngõ 12 Núi Trúc), Quận Ba Đình, Hà Nội",21.028393,105.822649,,4.000000,14
15048,Hà Nội,Bảo Minh - Đặc Sản Bánh Cốm Hàng Than,"12 Hàng Than, Quận Ba Đình, Hà Nội",21.042649,105.847160,,3.650000,13
10581,Hà Nội,Cô Liên - Chè Đà Nẵng - Yên Phụ,"46 Yên Phụ (1 Phạm Hồng Thái), Quận Ba Đình, Hà Nội",21.043241,105.847324,,3.900000,14
20860,Hà Nội,Minh Ngọc - Bún Bò Giò Heo & Bánh Bột Lọc,"111A5, TT. Thành Công , Quận Ba Đình, Hà Nội",21.021009,105.813232,,3.800000,30
16432,Hà Nội,KhoGaKay - Khô Gà Lá Chanh - Kim Mã Thượng,"Nhà P2 - E2, Ngõ 37 Kim Mã Thượng, Ba Dinh District, Hà Nội",21.035243,105.812706,,3.600000,18
47780,Hà Nội,Bà Nhon - Bún Đậu Mẹt,"3 Ngõ 16 Huỳnh Thúc Kháng, Quận Ba Đình, Hà Nội",21.018883,105.810640,,3.600000,43
5533,Hà Nội,Oribeans Coffee - Trần Huy Liệu,"108 C6 Trần Huy Liệu, Quận Ba Đình, Hà Nội",21.027295,105.822193,,3.450000,10
44532,Hà Nội,Mr.Sạch - Trà Sữa & Đồ Ăn Vặt,"41/84 Ngọc Khánh, Ba Dinh District, Hà Nội",21.025755,105.815332,,4.550000,17
9666,Hà Nội,Ding Tea - Kim Mã,"46 Kim Mã, Ba Dinh District, Hà Nội",21.032529,105.828234,,3.550000,15
51389,Hà Nội,Saigon Night - Ốc Phố & Hải Sản,"43 Hàng Bún, Quận Ba Đình, Hà Nội",21.044260,105.845945,,4.300000,11
12608,Hà Nội,Phong Phú - Sữa Ngô Nguyên Chất & Bánh Bao," 509 Thụy Khuê, Quận Ba Đình, Hà Nội",21.048206,105.808913,,4.300000,10
77690,Hà Nội,Quán Kệ - Lẩu Cua Đồng,"271 Kim Mã  , Quận Ba Đình, Hà Nội",21.030964,105.820655,,4.000000,12
77573,Hà Nội,Phở Lành - Núi Trúc,"111 Núi Trúc, Quận Ba Đình, Hà Nội",21.030880,105.821951,,2.900000,17
6222,Hà Nội,Flamenco Tea,"90 Cửa Bắc, P. Quán Thánh, Quận Ba Đình, Hà Nội",21.041961,105.842336,,3.150000,16
7992,Hà Nội,DC Garden - Lẩu & Nướng Đội Cấn,"279 Đội Cấn, Quận Ba Đình, Hà Nội",21.035407,105.820443,,3.800000,8
10758,Hà Nội,Bánh Mì Minh Nhật - Đào Tấn,"29 Đào Tấn, Ba Dinh District, Hà Nội",21.032679,105.807691,,3.400000,14
13554,Hà Nội,Trà Sữa Bobapop - Quán Thánh,"114 Quán Thánh, Quận Ba Đình, Hà Nội",21.042245,105.843208,,3.500000,25
